"id","UDALERRIA_KODEA/COD_MUNICIPIO","UDALERRIA/MUNICIPIO","EKITALDIA/EJERCICIO","EDUKIONTZI_KODEA/COD_CONTENEDOR","EDUKIONTZIAREN MODELOA_CAS/MODELO CONTENEDOR_CAS","HONDAKINAREN FRAKZIOA_CAS/FRACCION DEL RESIDUO_CAS","longitude","latitude","horaMin","horaMax"
750,14,"BARRIKA",2020,5,"CARGA VERTICAL","ENVASES LIGEROS","503146,51","4806017,72",0,23
1001,17,"BERMEO",2020,33,"CARGA VERTICAL","ENVASES LIGEROS","521848,7","4807147,42",0,23
1002,17,"BERMEO",2020,34,"CARGA VERTICAL","ENVASES LIGEROS","522056,21","4807109,15",0,23
1003,17,"BERMEO",2020,35,"CARGA VERTICAL","ENVASES LIGEROS","522006,74","4807363,88",0,23
1004,17,"BERMEO",2020,36,"CARGA VERTICAL","ENVASES LIGEROS","522079,96","4807384,23",0,23
1005,17,"BERMEO",2020,37,"CARGA VERTICAL","ENVASES LIGEROS","522128,02","4807527,42",0,23
1006,17,"BERMEO",2020,38,"CARGA VERTICAL","ENVASES LIGEROS","522601,3","4807197,82",0,23
1007,17,"BERMEO",2020,39,"CARGA VERTICAL","ENVASES LIGEROS","521126,61","4807826,36",0,23
1008,17,"BERMEO",2020,40,"CARGA VERTICAL","ENVASES LIGEROS","521129,21","4807826,91",0,23
1009,17,"BERMEO",2020,42,"CARGA VERTICAL","ENVASES LIGEROS","521692,47","4807550,25",0,23
1010,17,"BERMEO",2020,43,"CARGA VERTICAL","ENVASES LIGEROS","519395,35","4805959,68",0,23
1011,17,"BERMEO",2020,44,"CARGA VERTICAL","ENVASES LIGEROS","521965,68","4807435,36",0,23
751,14,"BARRIKA",2020,6,"CARGA VERTICAL","ENVASES LIGEROS","501745,28","4804498,46",0,23
752,14,"BARRIKA",2020,7,"CARGA VERTICAL","ENVASES LIGEROS","503088,04","4803732,3",0,23
753,14,"BARRIKA",2020,8,"CARGA VERTICAL","ENVASES LIGEROS","503840,25","4804973,47",0,23
754,14,"BARRIKA",2020,9,"CARGA VERTICAL","ENVASES LIGEROS","502630,88","4805526,32",0,23
755,14,"BARRIKA",2020,10,"CARGA VERTICAL","ENVASES LIGEROS","502485,57","4805838,57",0,23
756,14,"BARRIKA",2020,11,"CARGA VERTICAL","ENVASES LIGEROS","502983,91","4806075,32",0,23
757,14,"BARRIKA",2020,12,"CARGA VERTICAL","ENVASES LIGEROS","502533,49","4805741,85",0,23
758,14,"BARRIKA",2020,13,"CARGA VERTICAL","ENVASES LIGEROS","502297,18","4804772,02",0,23
759,14,"BARRIKA",2020,14,"CARGA VERTICAL","ENVASES LIGEROS","502333,54","4805481,96",0,23
